season,class,n_dots,obs mean (N-w.),model mean (N-w.),bias (model - obs),rmse,corr (N-w.)
spring,dry-dry,2019,0.701011412938348,0.7017364351029018,0.0007250221645536351,0.07875105943098078,0.7013476747418224
spring,wet-wet,1023,0.4301894470316951,0.3941552209173097,-0.03603422611438536,0.08865405112538807,0.8010204897177107
spring,dry-wet,1227,0.32646385345109585,0.4412596709036981,0.11479581745260223,0.16851014516934398,0.6145493737851708
summer,dry-dry,984,0.8075063459446392,0.7910521654188646,-0.016454180525774617,0.06821291980058494,0.7268125960139141
summer,wet-wet,247,0.26412868632707776,0.2642140753740852,8.538904700740321e-05,0.07813810682535961,0.6888177822282275
summer,dry-wet,281,0.29042155816435433,0.3810310324847879,0.09060947432043362,0.13691153260556158,0.6319090389203649
autumn,dry-dry,2008,0.7287649783038522,0.7273960868736793,-0.001368891430172924,0.07559892590891883,0.6922415132862453
autumn,wet-wet,969,0.40796418473138546,0.37702904598405,-0.03093513874733541,0.08661777197910417,0.7970187202706259
autumn,dry-wet,1065,0.3232878595237277,0.4311847224107696,0.10789686288704187,0.16133345444048966,0.6244115452791651
winter,dry-dry,1702,0.7060436137071651,0.7017172930039863,-0.0043263207031788995,0.07948804828500931,0.7726200576952713
winter,wet-wet,913,0.4401129383792352,0.42780170456047034,-0.012311233818764918,0.08413323816383647,0.8231989059788377
winter,dry-wet,811,0.2924231196739533,0.43433075036129365,0.14190763068734016,0.19134401471877144,0.5717097677708669
