,,vs observed data,vs observed data,vs observed data,vs observed data,vs observed data,vs observed data,vs simulated data from fitted model,vs simulated data from fitted model,vs simulated data from fitted model,vs simulated data from fitted model,vs simulated data from fitted model,vs simulated data from fitted model
,,n_dots,obs mean (N-w.),model mean (N-w.),bias (model - obs),rmse,corr (N-w.),n_dots,obs mean (N-w.),model mean (N-w.),bias (model - obs),rmse,corr (N-w.)
season,class,,,,,,,,,,,,
spring,dry-dry,962,0.7020580880938642,0.7032437431362233,0.0011856550423591323,0.07277164231412236,0.7730087522713097,886,0.6846427593758555,0.6936238210238018,0.008981061647946506,0.06936607671152173,0.7540756802466917
spring,wet-wet,538,0.4332512315270936,0.3883870545443126,-0.04486417698278087,0.08710355792253362,0.8148319416003915,499,0.3731745249023252,0.38848180512707287,0.01530728022474758,0.06635503601594514,0.7994102476865573
spring,dry-wet,421,0.28459082768823485,0.3906655114717125,0.10607468378347766,0.15466877334873386,0.5942526639606035,155,0.3755880815473079,0.4097615942680641,0.03417351272075627,0.09807245543450849,0.6854138287104982
summer,dry-dry,544,0.8122559920929083,0.7974662645557389,-0.014789727537169449,0.06411898398430654,0.7220114501492076,457,0.7845858650463703,0.7981895546773617,0.013603689630991352,0.0683205230741532,0.7498337304473061
summer,wet-wet,174,0.2609117361784675,0.25777253040873005,-0.003139205769737357,0.07378658369667863,0.7283794476982869,204,0.24840691852526173,0.2537625755480385,0.005355657022776815,0.058601441469781225,0.7480793251024666
summer,dry-wet,130,0.26192400970088925,0.348058488513823,0.08613447881293379,0.1319736076582719,0.6746229667743677,51,0.32644017725258495,0.36043777124521753,0.03399759399263262,0.10512153485507279,0.47510614695483144
autumn,dry-dry,1036,0.7346859653657276,0.7320201789146041,-0.002665786451123851,0.06824470884648168,0.7429134748779597,817,0.7280010337252875,0.7181587549960653,-0.009842278729222257,0.06576423344286605,0.8048319447217205
autumn,wet-wet,501,0.4140818057758271,0.37112403850389264,-0.04295776727193438,0.08172371187884284,0.827617922718598,480,0.38430741453075323,0.3804754607508319,-0.0038319537799213163,0.0599997683654786,0.8352467860759039
autumn,dry-wet,374,0.28332884460005386,0.37768761682581486,0.09435877222576101,0.14958243358405454,0.5610749306796609,42,0.40294117647058825,0.4196187527065721,0.01667757623598386,0.11391228907217872,0.535542786972774
winter,dry-dry,991,0.7156469524494007,0.7074432330006815,-0.008203719448719282,0.0747433893179125,0.8114733409127148,755,0.6732686744937894,0.6863743623378009,0.013105687844011657,0.06905615495357677,0.8543904575398189
winter,wet-wet,501,0.437240169342843,0.41650214716726097,-0.02073802217558205,0.07879791871596799,0.8302477241046633,537,0.4317575577949022,0.4207613323979344,-0.01099622539696781,0.06636250538805362,0.8615288908203422
winter,dry-wet,293,0.25885624471043406,0.3747087882991889,0.11585254358875488,0.17354905153868125,0.48621084710623624,34,0.41101152368758004,0.38809433565395135,-0.022917188033628657,0.10306966350944803,0.6348647409376619
