,,vs observed data,vs observed data,vs observed data,vs observed data,vs observed data,vs observed data,"vs simulated data from fitted model, 41 years","vs simulated data from fitted model, 41 years","vs simulated data from fitted model, 41 years","vs simulated data from fitted model, 41 years","vs simulated data from fitted model, 41 years","vs simulated data from fitted model, 41 years","vs simulated data from fitted model, 1025 years","vs simulated data from fitted model, 1025 years","vs simulated data from fitted model, 1025 years","vs simulated data from fitted model, 1025 years","vs simulated data from fitted model, 1025 years","vs simulated data from fitted model, 1025 years"
,,n_dots,obs mean (N-w.),model mean (N-w.),bias (model - obs),rmse,corr (N-w.),n_dots,obs mean (N-w.),model mean (N-w.),bias (model - obs),rmse,corr (N-w.),n_dots,obs mean (N-w.),model mean (N-w.),bias (model - obs),rmse,corr (N-w.)
season,class,,,,,,,,,,,,,,,,,,
spring,dry-dry,962,0.7020580880938642,0.7032437431362233,0.0011856550423591323,0.07277164231412236,0.7730087522713097,886,0.6846427593758555,0.6936238210238018,0.008981061647946506,0.06936607671152173,0.7540756802466917,5680,0.7362415413311337,0.7362945638436689,5.302251253516254e-05,0.019362792196785678,0.9765976675409735
spring,wet-wet,538,0.4332512315270936,0.3883870545443126,-0.04486417698278087,0.08710355792253362,0.8148319416003915,499,0.3731745249023252,0.38848180512707287,0.01530728022474758,0.06635503601594514,0.7994102476865573,1807,0.39994806709909364,0.3996539915146614,-0.00029407558443227155,0.01741614942344492,0.9829573517823647
spring,dry-wet,421,0.28459082768823485,0.3906655114717125,0.10607468378347766,0.15466877334873386,0.5942526639606035,155,0.3755880815473079,0.4097615942680641,0.03417351272075627,0.09807245543450849,0.6854138287104982,3139,0.44240456768453845,0.441033052916754,-0.0013715147677843974,0.0346061151650588,0.9430841924460783
summer,dry-dry,544,0.8122559920929083,0.7974662645557389,-0.014789727537169449,0.06411898398430654,0.7220114501492076,457,0.7845858650463703,0.7981895546773617,0.013603689630991352,0.0683205230741532,0.7498337304473061,6177,0.8351224780654086,0.8362750303164557,0.0011525522510471417,0.019488966885688814,0.9619955828331918
summer,wet-wet,174,0.2609117361784675,0.25777253040873005,-0.003139205769737357,0.07378658369667863,0.7283794476982869,204,0.24840691852526173,0.2537625755480385,0.005355657022776815,0.058601441469781225,0.7480793251024666,987,0.24472206908867855,0.24365121154233346,-0.001070857546345116,0.018611368600477792,0.9704378657847672
summer,dry-wet,130,0.26192400970088925,0.348058488513823,0.08613447881293379,0.1319736076582719,0.6746229667743677,51,0.32644017725258495,0.36043777124521753,0.03399759399263262,0.10512153485507279,0.47510614695483144,1966,0.35227394034776294,0.3541590062786294,0.0018850659308664618,0.0361377502876777,0.9137704133127226
autumn,dry-dry,1036,0.7346859653657276,0.7320201789146041,-0.002665786451123851,0.06824470884648168,0.7429134748779597,817,0.7280010337252875,0.7181587549960653,-0.009842278729222257,0.06576423344286605,0.8048319447217205,5655,0.7543419281220977,0.7544196058929281,7.767777083022034e-05,0.020448353645795624,0.9681461942033934
autumn,wet-wet,501,0.4140818057758271,0.37112403850389264,-0.04295776727193438,0.08172371187884284,0.827617922718598,480,0.38430741453075323,0.3804754607508319,-0.0038319537799213163,0.0599997683654786,0.8352467860759039,1742,0.3957015286817012,0.391944732084113,-0.0037567965975881584,0.01847461586762055,0.9851961272255187
autumn,dry-wet,374,0.28332884460005386,0.37768761682581486,0.09435877222576101,0.14958243358405454,0.5610749306796609,42,0.40294117647058825,0.4196187527065721,0.01667757623598386,0.11391228907217872,0.535542786972774,2859,0.44055498440911833,0.43455531714521095,-0.005999667263907205,0.03771354832291618,0.9462755699168036
winter,dry-dry,991,0.7156469524494007,0.7074432330006815,-0.008203719448719282,0.0747433893179125,0.8114733409127148,755,0.6732686744937894,0.6863743623378009,0.013105687844011657,0.06905615495357677,0.8543904575398189,5824,0.74194651973917,0.7427505438953291,0.0008040241561588492,0.019338270991056488,0.9822021786728238
winter,wet-wet,501,0.437240169342843,0.41650214716726097,-0.02073802217558205,0.07879791871596799,0.8302477241046633,537,0.4317575577949022,0.4207613323979344,-0.01099622539696781,0.06636250538805362,0.8615288908203422,1961,0.42993748488930333,0.4300371630641765,9.967817487304254e-05,0.017031193408303773,0.990050549623623
winter,dry-wet,293,0.25885624471043406,0.3747087882991889,0.11585254358875488,0.17354905153868125,0.48621084710623624,34,0.41101152368758004,0.38809433565395135,-0.022917188033628657,0.10306966350944803,0.6348647409376619,3074,0.4566766688001942,0.45168614369116067,-0.004990525109033483,0.0376766615337797,0.9604284933523424
