season,class,n_dots,obs mean (N-w.),model mean (N-w.),bias (model - obs),rmse,corr (N-w.)
spring,dry-dry,962,0.7020580880938642,0.7032437431362233,0.0011856550423591323,0.07277164231412236,0.7730087522713097
spring,wet-wet,538,0.4332512315270936,0.3883870545443126,-0.04486417698278087,0.08710355792253362,0.8148319416003915
spring,dry-wet,421,0.28459082768823485,0.3906655114717125,0.10607468378347766,0.15466877334873386,0.5942526639606035
summer,dry-dry,544,0.8122559920929083,0.7974662645557389,-0.014789727537169449,0.06411898398430654,0.7220114501492076
summer,wet-wet,174,0.2609117361784675,0.25777253040873005,-0.003139205769737357,0.07378658369667863,0.7283794476982869
summer,dry-wet,130,0.26192400970088925,0.348058488513823,0.08613447881293379,0.1319736076582719,0.6746229667743677
autumn,dry-dry,1036,0.7346859653657276,0.7320201789146041,-0.002665786451123851,0.06824470884648168,0.7429134748779597
autumn,wet-wet,501,0.4140818057758271,0.37112403850389264,-0.04295776727193438,0.08172371187884284,0.827617922718598
autumn,dry-wet,374,0.28332884460005386,0.37768761682581486,0.09435877222576101,0.14958243358405454,0.5610749306796609
winter,dry-dry,991,0.7156469524494007,0.7074432330006815,-0.008203719448719282,0.0747433893179125,0.8114733409127148
winter,wet-wet,501,0.437240169342843,0.41650214716726097,-0.02073802217558205,0.07879791871596799,0.8302477241046633
winter,dry-wet,293,0.25885624471043406,0.3747087882991889,0.11585254358875488,0.17354905153868125,0.48621084710623624
