station_j,station_k,dist,n_days,agree,agree_indep
ALACANT/ALICANTE,AMARANTE,722.4169965750731,8060,0.6660049627791563,0.6466961906869363
ALACANT/ALICANTE,ARANJUEZ,323.4013395002759,10213,0.8330559091354156,0.7665701677914128
ALACANT/ALICANTE,BARCELOS,776.0798722095955,7826,0.6456682852031689,0.6358133009290048
ALACANT/ALICANTE,BEJA,645.2484958319031,10779,0.7805918916411541,0.7417813308258872
ALACANT/ALICANTE,BRAGANCA,654.0074821361715,10779,0.7038686334539382,0.6891667355769133
ALACANT/ALICANTE,CADIZ,549.7244310931843,12962,0.8322789692948619,0.7758154317637074
ALACANT/ALICANTE,CAMPDEVANOL,483.90656470772444,13320,0.7493993993993994,0.6848553515882747
ALACANT/ALICANTE,CUENCA,235.359069323701,13840,0.8075867052023121,0.725622866435573
ALACANT/ALICANTE,DAROCA,314.74959747928835,13459,0.7979790474775244,0.7255352712311791
ALACANT/ALICANTE,EXTREMO,785.917196969032,7562,0.6179582121131976,0.6122807019113724
ALACANT/ALICANTE,GETAFE,350.6111409533631,13621,0.8267381249541149,0.7594956808574375
ALACANT/ALICANTE,LORCA,131.50609021423713,13742,0.9179158783292097,0.8156531525475574
ALACANT/ALICANTE,MONTSERRAT,409.6572976142475,13744,0.8237048894062864,0.7505107250036427
ALACANT/ALICANTE,OURENSE,762.920366146825,13083,0.6640678743407475,0.6518033393988831
ALACANT/ALICANTE,OVIEDO,714.7849823242314,13417,0.6030409182380562,0.5797784130183298
ALACANT/ALICANTE,PAMPLONA,503.62547941199756,12358,0.6828774882667098,0.655525980855892
ALACANT/ALICANTE,PONFERRADA,695.3522209424913,13349,0.6828975953254925,0.6683916508673075
ALACANT/ALICANTE,PORTO,767.6557535721732,10779,0.6534929028666853,0.6551587200270033
ALACANT/ALICANTE,SORIA,414.431919387457,13182,0.7423001062054316,0.6899657040219825
ALACANT/ALICANTE,TARIFA,522.5995432683703,13072,0.8329253365973073,0.7655111490820995
ALACANT/ALICANTE,TORREVIEJA,47.87864066936528,10716,0.9358902575587906,0.807140033286612
ALACANT/ALICANTE,VALENCIA,123.70509196102228,13655,0.8993775173928964,0.7780785033004007
ALACANT/ALICANTE,VANDELLOS,310.34175152064387,11178,0.856682769726248,0.7817399041631494
ALACANT/ALICANTE,VIMIANZO,888.6088475841793,13692,0.5298714577855682,0.5390350996955632
ALACANT/ALICANTE,ZAMORA,567.0689947636466,13826,0.7668884709966729,0.7337195975665807
AMARANTE,ARANJUEZ,404.2806175279353,5212,0.7300460475825019,0.6258819038722527
AMARANTE,BARCELOS,54.20497580593242,8248,0.9017943743937924,0.5824778431707485
AMARANTE,BEJA,361.1845703344827,8491,0.7434931103521376,0.6265248720045498
AMARANTE,BRAGANCA,125.37851272267845,8491,0.7711694735602402,0.5999980735336348
AMARANTE,CADIZ,553.1291105674836,7625,0.7371803278688525,0.6385847121368545
AMARANTE,CAMPDEVANOL,855.3351234711791,8058,0.6567386448250186,0.5800123923591227
AMARANTE,CUENCA,518.2801219233589,8326,0.7411722315637761,0.6134577519395782
AMARANTE,DAROCA,557.4078630193003,7972,0.712744606121425,0.6104677267009601
AMARANTE,EXTREMO,83.62039509843535,7975,0.8673354231974921,0.5703558724719581
AMARANTE,GETAFE,381.6142805359026,8042,0.7489430489927879,0.6292246493313146
AMARANTE,LORCA,679.3174001407024,8058,0.6551253412757508,0.6508306504104062
AMARANTE,MONTSERRAT,826.4334290093525,8092,0.6739990113692536,0.6157678391662443
AMARANTE,OURENSE,118.63261093482076,7722,0.7911162911162911,0.5873632796987284
AMARANTE,OVIEDO,293.66277862388165,8013,0.6825159116435792,0.5467926919733574
AMARANTE,PAMPLONA,558.1471877232595,6658,0.735055572243917,0.5806411422200213
AMARANTE,PONFERRADA,188.3911114730106,7802,0.7909510381953345,0.5896188786081392
AMARANTE,PORTO,51.081047811761934,8491,0.7612766458603227,0.5869047918880319
AMARANTE,SORIA,468.41208759642063,7881,0.7619591422408324,0.5986963327501228
AMARANTE,TARIFA,622.5347570287753,7915,0.7301326595072647,0.638793726646189
AMARANTE,TORREVIEJA,728.5825709497442,8489,0.6582636352927318,0.6523044662669482
AMARANTE,VALENCIA,681.9591613928288,7945,0.660037759597231,0.6361156384187305
AMARANTE,VANDELLOS,749.532595129377,7392,0.6778950216450217,0.632374703343523
AMARANTE,VIMIANZO,214.43889743376576,8058,0.7130801687763713,0.5337895043739943
AMARANTE,ZAMORA,196.65607083453096,8095,0.7657813465101915,0.6209006032061188
ARANJUEZ,BARCELOS,456.94386740700327,4979,0.7097810805382607,0.6189406908211447
ARANJUEZ,BEJA,436.6998355189474,7303,0.8374640558674518,0.7159483809398198
ARANJUEZ,BRAGANCA,330.7157646460867,7303,0.7894016157743393,0.6689814663011256
ARANJUEZ,CADIZ,461.88355657159053,9544,0.8679798826487846,0.7412011849682882
ARANJUEZ,CAMPDEVANOL,534.9047749260752,9904,0.7503029079159935,0.6631423657017922
ARANJUEZ,CUENCA,120.3397979196313,10307,0.8798874551275832,0.6962601955729976
ARANJUEZ,DAROCA,214.66382762625304,10061,0.8376900904482656,0.7026697512348755
ARANJUEZ,EXTREMO,463.58147248375593,4718,0.6829164900381518,0.601366577668153
ARANJUEZ,GETAFE,29.842957016008317,10200,0.9266666666666666,0.7269745838093875
ARANJUEZ,LORCA,312.81875602167975,10364,0.8267078348128136,0.7788986349561299
ARANJUEZ,MONTSERRAT,483.74183977122476,10267,0.8086101100613616,0.7210036670467301
ARANJUEZ,OURENSE,439.5898363142306,9712,0.7505148270181219,0.633774748441324
ARANJUEZ,OVIEDO,413.3214453984977,9984,0.6460336538461539,0.5640430310859261
ARANJUEZ,PAMPLONA,344.72106708465105,9004,0.7431141714793426,0.6357818578792476
ARANJUEZ,PONFERRADA,376.975941051903,9964,0.7670614211160177,0.647316346122665
ARANJUEZ,PORTO,451.91969297701263,7303,0.7328495138983979,0.6356899498367431
ARANJUEZ,SORIA,209.8666537534825,9828,0.8295685795685795,0.6631997963394729
ARANJUEZ,TARIFA,485.1795408589508,9723,0.8564229147382495,0.7369051884717569
ARANJUEZ,TORREVIEJA,337.60440912071414,7245,0.828847481021394,0.7762212026994575
ARANJUEZ,VALENCIA,279.4178733912003,10186,0.8311407814647556,0.7494686366184423
ARANJUEZ,VANDELLOS,386.29498057401196,8118,0.827420546932742,0.7461051433154821
ARANJUEZ,VIMIANZO,565.5182139725509,10339,0.6113744075829384,0.5375519400134467
