station_j,station_k,dist,state_class,n_days,n_sw_j,n_sw_k,n_joint,expected_joint,ratio_emp,ratio,rho_hat
ALACANT/ALICANTE,ALMEIDINHA,0.6538393164492697,dry-dry,474,48,83,20,7.36274522089283,2.3795180722891565,2.716378117125006,0.44287596419091807
ALACANT/ALICANTE,ALMEIDINHA,0.6538393164492697,dry-wet,292,83,98,22,16.03438633461598,0.7897713302188345,1.37205126163794,-0.04814815050215296
ALACANT/ALICANTE,AMARANTE,0.7700675757933936,dry-dry,507,57,110,16,9.56945131841681,1.2937799043062201,1.6719871879391173,0.13635110302286363
ALACANT/ALICANTE,AMARANTE,0.7700675757933936,dry-wet,479,119,131,23,24.764487655253966,0.7067162742959779,0.9287492767943609,-0.10056131007604045
ALACANT/ALICANTE,ARANJUEZ,0.35246898311497993,dry-dry,689,70,106,28,9.791969171163831,2.6,2.8594861269025054,0.44654770587980386
ALACANT/ALICANTE,ARANJUEZ,0.35246898311497993,wet-wet,126,72,62,45,37.07055286632329,1.2701612903225807,1.2139015072764185,0.4579564591478297
ALACANT/ALICANTE,ARANJUEZ,0.35246898311497993,dry-wet,289,122,123,33,20.078018429158575,0.6355457816873251,1.6435884903898335,-0.20372696809703844
ALACANT/ALICANTE,BARCELOS,0.8294414107042047,dry-dry,456,50,108,15,8.33498138164874,1.2666666666666666,1.7996440919503116,0.11573857390173384
ALACANT/ALICANTE,BARCELOS,0.8294414107042047,dry-wet,463,107,124,20,22.640321731191335,0.6979198070545674,0.8833796726680879,-0.09322131752871804
ALACANT/ALICANTE,BEARIZ,0.8791399283682779,dry-dry,501,52,99,7,9.3196211474596,0.6812354312354313,0.7511034932904009,-0.1685806458816146
ALACANT/ALICANTE,BEARIZ,0.8791399283682779,dry-wet,476,119,121,28,23.135321868733307,0.9256198347107438,1.2102706052186445,0.0790556433340649
ALACANT/ALICANTE,BEJA,0.6451766347937,dry-dry,907,77,155,21,12.757995574375986,1.5958944281524927,1.646026593877945,0.15207317877468482
ALACANT/ALICANTE,BEJA,0.6451766347937,wet-wet,116,68,58,33,29.6443061372199,0.9705882352941176,1.1131985969665472,-0.036819425984494086
ALACANT/ALICANTE,BEJA,0.6451766347937,dry-wet,455,203,166,44,30.51333674086444,0.5941005400914001,1.441992410521062,-0.24009704450414127
ALACANT/ALICANTE,BRAGANCA,0.718272765242701,dry-dry,832,86,158,16,12.571746184358346,0.9796879599646747,1.2726951185116238,-0.02864527312944154
ALACANT/ALICANTE,BRAGANCA,0.718272765242701,wet-wet,102,56,44,20,22.733235299732982,0.827922077922078,0.8797691897481444,-0.25770806821681863
ALACANT/ALICANTE,BRAGANCA,0.718272765242701,dry-wet,597,212,186,57,35.01701115372231,0.8629793061472916,1.6277802737010838,0.059356517453180775
ALACANT/ALICANTE,CADIZ,0.564047078811086,dry-dry,846,78,120,31,11.035437942042542,2.8019230769230767,2.8091318317234117,0.42327330120794093
ALACANT/ALICANTE,CADIZ,0.564047078811086,wet-wet,145,80,66,39,37.216029946806195,1.0710227272727273,1.047935528205015,0.1163051971571123
ALACANT/ALICANTE,CADIZ,0.564047078811086,dry-wet,355,149,131,31,22.557189179334408,0.5638096213945386,1.3742847015886361,-0.255576417990918
ALACANT/ALICANTE,CAMPDEVANOL,0.5737275336859148,dry-dry,1077,101,148,35,16.11443963808698,2.521742039068772,2.1719650689730723,0.40601165155284885
ALACANT/ALICANTE,CAMPDEVANOL,0.5737275336859148,wet-wet,167,110,74,55,50.17038561210639,1.1283783783783783,1.0962642469052142,0.16740162116959498
ALACANT/ALICANTE,CAMPDEVANOL,0.5737275336859148,dry-wet,465,163,217,41,32.404322292835126,0.5390008764241893,1.2652633074528288,-0.2878928268917237
ALACANT/ALICANTE,CAMPI,0.7439571270234114,dry-dry,375,39,76,16,6.179355958028118,2.0242914979757085,2.589266601353991,0.3566573488559348
ALACANT/ALICANTE,CAMPI,0.7439571270234114,dry-wet,330,79,80,14,15.929921432920434,0.7310126582278481,0.8788492811438416,-0.07881650865405002
