station_j,station_k,dist,state_class,n_days,n_sw_j,n_sw_k,n_joint,expected_joint,ratio_emp,ratio,rho_hat
ALACANT/ALICANTE,ALMEIDINHA,0.6538393164492697,dry-dry,497,53,101,19,8.797439005522229,1.7640575378292547,2.159719435175798,0.27244332582168246
ALACANT/ALICANTE,ALMEIDINHA,0.6538393164492697,wet-wet,101,56,36,24,21.60246607477153,1.2023809523809523,1.110984269894465,0.30346010090529496
ALACANT/ALICANTE,ALMEIDINHA,0.6538393164492697,dry-wet,334,92,116,24,18.739003017407484,0.7511244377811095,1.2807511679092716,-0.07764931454000941
ALACANT/ALICANTE,AMARANTE,0.7700675757933936,dry-dry,547,61,132,27,10.703432832228867,1.8342026825633384,2.5225551860988844,0.32449154801791946
ALACANT/ALICANTE,AMARANTE,0.7700675757933936,wet-wet,121,71,40,25,22.144671801893008,1.0651408450704225,1.1289397388071882,0.11615965255833118
ALACANT/ALICANTE,AMARANTE,0.7700675757933936,dry-wet,499,116,145,32,25.350154404988174,0.949346016646849,1.2623197274768208,0.05199992480841825
ALACANT/ALICANTE,ARANJUEZ,0.35246898311497993,dry-dry,878,73,134,28,14.203493548741761,2.513187487221427,1.9713459863880054,0.3929180775458551
ALACANT/ALICANTE,ARANJUEZ,0.35246898311497993,wet-wet,140,75,73,49,38.19086022760497,1.2529680365296805,1.283029492082035,0.43191403285676006
ALACANT/ALICANTE,ARANJUEZ,0.35246898311497993,dry-wet,355,141,144,37,24.90584333100457,0.6469168636721828,1.4855951476230385,-0.21123356956108327
ALACANT/ALICANTE,BARCELOS,0.8294414107042047,dry-dry,547,64,136,20,10.336101576762198,1.2568933823529411,1.9349655043023517,0.13378349318396554
ALACANT/ALICANTE,BARCELOS,0.8294414107042047,wet-wet,107,65,44,27,19.183976824974955,1.0101398601398601,1.4074245526010871,0.0806715334098967
ALACANT/ALICANTE,BARCELOS,0.8294414107042047,dry-wet,505,120,140,24,25.05274030522527,0.7214285714285714,0.957979035730247,-0.06349661855066202
ALACANT/ALICANTE,BEARIZ,0.8791399283682779,dry-dry,495,45,97,12,8.141068598027768,1.3608247422680413,1.4740079702690485,0.09998663464729435
ALACANT/ALICANTE,BEARIZ,0.8791399283682779,dry-wet,468,101,115,23,20.29780257455386,0.9267326732673268,1.1331275844033346,0.023583786674609225
ALACANT/ALICANTE,BEJA,0.6451766347937,dry-dry,1019,81,154,20,13.26483806642485,1.6337983004649672,1.5077455073215542,0.1741600225101903
ALACANT/ALICANTE,BEJA,0.6451766347937,wet-wet,130,64,62,27,31.3217854643378,0.8845766129032258,0.8620198242128158,-0.16839421134226884
ALACANT/ALICANTE,BEJA,0.6451766347937,dry-wet,470,191,160,45,28.97298134567326,0.6920811518324608,1.5531711929507788,-0.1104793320939077
ALACANT/ALICANTE,BRAGANCA,0.718272765242701,dry-dry,861,75,194,27,14.707448912600654,1.5977319587628867,1.8358044389919765,0.16408045161366108
ALACANT/ALICANTE,BRAGANCA,0.718272765242701,wet-wet,135,81,62,41,28.600091068218372,1.1021505376344085,1.4335618688138,0.2064599681888874
ALACANT/ALICANTE,BRAGANCA,0.718272765242701,dry-wet,610,178,193,43,34.6178223506424,0.7635209873668277,1.2421347467918373,-0.06641976601755076
ALACANT/ALICANTE,CADIZ,0.564047078811086,dry-dry,1103,77,104,20,11.281257513800934,2.754745254745255,1.772852004799375,0.37799842348429086
ALACANT/ALICANTE,CADIZ,0.564047078811086,wet-wet,128,68,64,35,32.54695325742827,1.0294117647058822,1.0753694738542652,0.05650629309732674
ALACANT/ALICANTE,CADIZ,0.564047078811086,dry-wet,370,169,119,35,21.860513593250488,0.6439262095370692,1.6010602793342594,-0.16210535587378613
ALACANT/ALICANTE,CAMPDEVANOL,0.5737275336859148,dry-dry,850,73,190,41,18.656947617180492,2.5126171593366977,2.1975727670610286,0.48144888498297755
ALACANT/ALICANTE,CAMPDEVANOL,0.5737275336859148,wet-wet,195,122,75,52,47.712121226657345,1.1081967213114754,1.0898697996044444,0.1354956914800023
ALACANT/ALICANTE,CAMPDEVANOL,0.5737275336859148,dry-wet,519,131,232,39,33.803387752601864,0.6659976309555146,1.1537305161669231,-0.18818464164263413
ALACANT/ALICANTE,CAMPI,0.7439571270234114,dry-dry,411,46,93,21,7.784562041792183,2.017531556802244,2.697646943689246,0.3763783161587079
ALACANT/ALICANTE,CAMPI,0.7439571270234114,dry-wet,341,85,105,27,18.136296743375716,1.0315966386554623,1.4887272954365258,0.10323872467370261
ALACANT/ALICANTE,CUENCA,0.2715274868668432,dry-dry,1063,81,194,40,18.846320266028748,2.7058673794068984,2.122430237593999,0.46127352992374077
ALACANT/ALICANTE,CUENCA,0.2715274868668432,wet-wet,232,126,93,62,53.3423920692554,1.2275132275132274,1.1623025813972547,0.321574571934048
ALACANT/ALICANTE,CUENCA,0.2715274868668432,dry-wet,504,166,207,42,31.18781199163096,0.6160293347302253,1.3466799149382591,-0.2608687729608304
ALACANT/ALICANTE,DAROCA,0.38202131459886346,dry-dry,893,71,176,44,16.76744996030337,3.1443661971830985,2.6241318807671528,0.593643482890974
ALACANT/ALICANTE,DAROCA,0.38202131459886346,wet-wet,173,99,74,51,43.162365406173265,1.2043407043407044,1.181584918251625,0.31396062458776725
ALACANT/ALICANTE,DAROCA,0.38202131459886346,dry-wet,410,120,174,28,26.932534134754633,0.5498084291187739,1.0396348097028074,-0.28932784299022407
ALACANT/ALICANTE,ENCISO,0.5374994382437821,dry-dry,264,15,47,8,3.831739397637933,2.9957446808510637,2.0878246586737035,0.4348814649276579
ALACANT/ALICANTE,ENCISO,0.5374994382437821,dry-wet,115,28,59,11,7.591024579357921,0.7657384987893463,1.4490797500395427,-0.19316429819513334
ALACANT/ALICANTE,EXTREMO,0.8505633689862772,dry-dry,490,59,117,21,9.689539382007357,1.4906562364189482,2.167285685323205,0.20998558738572415
ALACANT/ALICANTE,EXTREMO,0.8505633689862772,wet-wet,104,67,41,23,16.57111631418438,0.8707681106661813,1.3879571879121195,-0.14073482241851387
ALACANT/ALICANTE,EXTREMO,0.8505633689862772,dry-wet,541,113,141,31,25.126816250134297,1.0525952425782965,1.2337416603599476,0.05203647275653017
ALACANT/ALICANTE,FISTERRA,0.9869814597548859,dry-dry,375,31,91,7,7.372553260465117,0.9305210918114144,0.9494675389511376,-0.06410530515665055
ALACANT/ALICANTE,FISTERRA,0.9869814597548859,dry-wet,370,87,114,25,19.154636684144123,0.9326477112321032,1.305167015811611,0.05172855246461486
ALACANT/ALICANTE,GETAFE,0.3850572944039493,dry-dry,847,61,132,29,12.653276160840491,3.050546448087432,2.2918965516416643,0.461256584206126
ALACANT/ALICANTE,GETAFE,0.3850572944039493,wet-wet,172,95,82,53,40.577785020168065,1.1702182284980744,1.3061333922898408,0.2840616219410782
ALACANT/ALICANTE,GETAFE,0.3850572944039493,dry-wet,391,148,143,31,24.45851393492623,0.5727178227178227,1.2674523105728295,-0.24860826991723653
ALACANT/ALICANTE,GUARDA,0.6571957404414749,dry-dry,357,39,62,14,6.41378541958404,2.066997518610422,2.1827983139647906,0.35611618011877566
ALACANT/ALICANTE,GUARDA,0.6571957404414749,dry-wet,212,64,78,20,12.789988541143089,0.8493589743589743,1.5637230585206237,-0.024035903365864728
ALACANT/ALICANTE,LORCA,0.14285873363064877,dry-dry,1438,126,121,61,13.54056659267357,5.753509117145481,4.504981352331698,0.7309400112772946
ALACANT/ALICANTE,LORCA,0.14285873363064877,wet-wet,211,118,129,94,69.267919521713,1.30298252529234,1.35704956420027,0.634361304405348
ALACANT/ALICANTE,LORCA,0.14285873363064877,dry-wet,249,134,97,16,15.07120246815289,0.3065086936451762,1.0616273010604005,-0.5184195694420236
ALACANT/ALICANTE,MONTSERRAT,0.4839024212077362,dry-dry,1106,93,175,46,17.956351498588074,3.126021505376344,2.561767628775647,0.5464272680280428
ALACANT/ALICANTE,MONTSERRAT,0.4839024212077362,wet-wet,180,113,78,56,51.6704092535865,1.143635125936011,1.0837924608873304,0.190002807309584
ALACANT/ALICANTE,MONTSERRAT,0.4839024212077362,dry-wet,422,129,217,35,28.92049310316237,0.5276319079769942,1.2102144965215982,-0.2997176751177061
ALACANT/ALICANTE,OURENSE,0.8386011704741688,dry-dry,641,45,156,15,12.264817114546627,1.3696581196581197,1.223010490895076,0.08540965277660248
ALACANT/ALICANTE,OURENSE,0.8386011704741688,wet-wet,127,85,41,25,22.81313094251238,0.9110473457675753,1.0958601019298222,-0.15437099739758012
ALACANT/ALICANTE,OURENSE,0.8386011704741688,dry-wet,631,166,180,40,32.39898468622896,0.8447121820615796,1.2346065899096468,-0.06141007982626172
ALACANT/ALICANTE,OVIEDO,0.8252213407188747,dry-dry,687,46,204,19,17.64563461458456,1.3909846547314577,1.0767535662500924,0.12373903581839463
ALACANT/ALICANTE,OVIEDO,0.8252213407188747,wet-wet,194,121,62,33,34.70868871690351,0.8533724340175953,0.9507705770494476,-0.21730293766665143
ALACANT/ALICANTE,OVIEDO,0.8252213407188747,dry-wet,700,166,220,33,36.19785103256024,0.6325301204819277,0.9116563292753554,-0.29096993226750545
ALACANT/ALICANTE,PAMPLONA,0.6138643361825086,dry-dry,784,69,187,32,16.347183993835706,1.9443540261954584,1.9575236941155585,0.3341111089584578
ALACANT/ALICANTE,PAMPLONA,0.6138643361825086,wet-wet,157,107,52,34,30.639981980782768,0.9593817397555715,1.1096612269982606,-0.10114316896625188
ALACANT/ALICANTE,PAMPLONA,0.6138643361825086,dry-wet,545,124,228,30,29.96029456530743,0.5783106960950763,1.0013252685018172,-0.2991590019156178
ALACANT/ALICANTE,PONFERRADA,0.7810935427555226,dry-dry,715,57,155,21,12.732939122602906,1.699490662139219,1.64926571923381,0.18805426109556087
ALACANT/ALICANTE,PONFERRADA,0.7810935427555226,wet-wet,113,72,40,24,19.80901207646457,0.9416666666666667,1.2115697596305075,-0.07250328616385097
ALACANT/ALICANTE,PONFERRADA,0.7810935427555226,dry-wet,566,154,172,45,29.17660859817685,0.9615675022651767,1.5423314141730613,0.06468906081868706
ALACANT/ALICANTE,PORTO,0.813632993196391,dry-dry,820,82,177,15,14.160676708118933,0.847457627118644,1.0592714111889756,-0.10119359482391913
ALACANT/ALICANTE,PORTO,0.813632993196391,wet-wet,101,63,42,22,19.867302375291985,0.8397581254724111,1.107347116605038,-0.21865219660919802
ALACANT/ALICANTE,PORTO,0.813632993196391,dry-wet,708,197,212,60,39.27718982109619,1.0171439517287617,1.5276041965653402,0.15873541984185338
ALACANT/ALICANTE,SORIA,0.49503674472303477,dry-dry,692,57,167,24,14.776071191834369,1.7447210841474945,1.6242477237970407,0.2611643562193193
ALACANT/ALICANTE,SORIA,0.49503674472303477,wet-wet,172,102,75,52,35.675715083497494,1.1691503267973857,1.4575741475201327,0.2989976383179718
ALACANT/ALICANTE,SORIA,0.49503674472303477,dry-wet,510,144,174,30,29.841546650467873,0.610632183908046,1.0053098236290525,-0.2724845720706279
ALACANT/ALICANTE,TARIFA,0.5493210824679542,dry-dry,968,65,113,15,10.773399878811093,1.976855003403676,1.3923181325053848,0.23353936514533813
ALACANT/ALICANTE,TARIFA,0.5493210824679542,wet-wet,147,78,66,36,31.94891282712112,1.027972027972028,1.126798905327381,0.0424019544656107
ALACANT/ALICANTE,TARIFA,0.5493210824679542,dry-wet,379,156,118,19,20.255116938184585,0.39118861364624075,0.9380345745712056,-0.4048800718685672
ALACANT/ALICANTE,TAVIRA,0.6475272711192898,dry-dry,464,44,44,6,4.502622940790834,1.43801652892562,1.3325566184198778,0.1460878094808385
ALACANT/ALICANTE,TAVIRA,0.6475272711192898,dry-wet,197,99,49,19,12.324767044998858,0.7715934858792002,1.5416112881184085,-0.08082220125198282
ALACANT/ALICANTE,TORREVIEJA,0.05710930357064892,dry-dry,1244,130,96,74,9.967782953931039,7.376282051282051,7.423917669757876,0.8849493874728706
ALACANT/ALICANTE,TORREVIEJA,0.05710930357064892,wet-wet,203,108,130,98,73.7062214831679,1.4169515669515669,1.329602820874219,0.8137655630450814
ALACANT/ALICANTE,TORREVIEJA,0.05710930357064892,dry-wet,163,101,56,11,8.422436458728445,0.317008486562942,1.3060353798929931,-0.5352340333181049
ALACANT/ALICANTE,VALENCIA,0.1513896629727109,dry-dry,1077,99,114,54,12.75682669600231,5.15311004784689,4.233027639775206,0.743184351987285
ALACANT/ALICANTE,VALENCIA,0.1513896629727109,wet-wet,233,125,105,89,65.76611502303555,1.5799619047619047,1.3532804844687334,0.7716853425078775
ALACANT/ALICANTE,VALENCIA,0.1513896629727109,dry-wet,214,91,107,14,13.237656251050215,0.3076923076923077,1.0575890274299353,-0.45908577286573343
ALACANT/ALICANTE,VANDELLOS,0.37190724161817185,dry-dry,1085,87,132,45,13.816972893380752,4.251567398119122,3.2568638838075734,0.6562863930348797
ALACANT/ALICANTE,VANDELLOS,0.37190724161817185,wet-wet,142,86,86,59,47.18833952930509,1.1327744726879394,1.2503088811455123,0.3092197666407658
ALACANT/ALICANTE,VANDELLOS,0.37190724161817185,dry-wet,296,113,140,27,20.151808997026542,0.5051833122629583,1.3398300869159652,-0.27714224558408923
ALACANT/ALICANTE,VIMIANZO,0.982146198608166,dry-dry,799,73,200,21,17.7089883521759,1.1492465753424657,1.1858384896063097,0.0398945657048939
ALACANT/ALICANTE,VIMIANZO,0.982146198608166,wet-wet,180,117,50,24,25.862650127662597,0.7384615384615385,0.9279791468210633,-0.3282870025354503
ALACANT/ALICANTE,VIMIANZO,0.982146198608166,dry-wet,1057,215,239,53,47.81607482174545,1.0902208815802277,1.108413858677857,0.022797607333442917
ALACANT/ALICANTE,ZAMORA,0.6265980123945956,dry-dry,1002,76,190,30,15.92670564945827,2.081717451523546,1.8836287089301746,0.25770937949912887
ALACANT/ALICANTE,ZAMORA,0.6265980123945956,wet-wet,154,83,78,39,34.46097090139668,0.927710843373494,1.13171506721592,-0.11769741791960484
ALACANT/ALICANTE,ZAMORA,0.6265980123945956,dry-wet,540,179,197,40,32.43843287586405,0.6125400561495051,1.233105192013211,-0.1826669282056911
ALMEIDINHA,AMARANTE,0.12273554912455735,dry-dry,821,106,163,82,23.506716496393427,3.8964000463016553,3.488364698344026,0.8123518538151813
ALMEIDINHA,AMARANTE,0.12273554912455735,wet-wet,408,152,105,81,52.37449134259275,2.0706766917293233,1.5465543993575361,0.7161927268503097
ALMEIDINHA,AMARANTE,0.12273554912455735,dry-wet,278,117,124,20,19.454697397059537,0.3832368348497381,1.0280293541354635,-0.463370350367364
ALMEIDINHA,ARANJUEZ,0.3211217713699551,dry-dry,457,69,65,25,10.967874283223185,2.5473801560758083,2.279384259376569,0.46791510929763525
