station_j,station_k,dist,state_class,n_days,n_sw_j,n_sw_k,n_joint,expected_joint,ratio_emp,ratio,rho_hat
ALACANT/ALICANTE,ALMEIDINHA,0.6538393164492697,dry-dry,618,19,33,3,1.5442999283816925,2.9569377990430623,1.942627817864221,0.21264010897545968
ALACANT/ALICANTE,ALMEIDINHA,0.6538393164492697,dry-wet,108,45,42,7,4.194560893110854,0.4,1.66882784119234,-0.1432087792118223
ALACANT/ALICANTE,AMARANTE,0.7700675757933936,dry-dry,755,24,61,1,2.549898275456656,0.5157103825136612,0.3921725072820452,-0.19124291938731294
ALACANT/ALICANTE,AMARANTE,0.7700675757933936,dry-wet,175,60,68,6,6.705321378322401,0.25735294117647056,0.8948116967812116,-0.2596549362407572
ALACANT/ALICANTE,ARANJUEZ,0.35246898311497993,dry-dry,706,19,33,6,1.579520855030978,6.755980861244019,3.7986203100068128,0.5286460279826336
ALACANT/ALICANTE,ARANJUEZ,0.35246898311497993,dry-wet,106,58,44,13,4.395344629127233,0.5399686520376176,2.9576747893330406,-0.06036174690472358
ALACANT/ALICANTE,BARCELOS,0.8294414107042047,dry-dry,729,22,65,0,2.832909170827187,0.0,0.0,-0.9669294740230622
ALACANT/ALICANTE,BARCELOS,0.8294414107042047,dry-wet,194,59,77,9,7.845652107341718,0.3843275368699097,1.1471321793096176,0.057876903174836514
ALACANT/ALICANTE,BEARIZ,0.8791399283682779,dry-dry,723,24,95,5,3.157831646739215,1.5855263157894737,1.5833649666419085,0.11471839148939729
ALACANT/ALICANTE,BEARIZ,0.8791399283682779,dry-wet,235,47,98,5,7.30087965911486,0.25510204081632654,0.6848489816919113,-0.2100178495398549
ALACANT/ALICANTE,BEJA,0.6451766347937,dry-dry,919,31,18,2,1.143944447909309,3.293906810035842,1.7483366466398185,0.29342377422257476
ALACANT/ALICANTE,BRAGANCA,0.718272765242701,dry-dry,1027,31,84,5,3.1914858726446136,1.9719662058371736,1.5666683794081055,0.15034789639185303
ALACANT/ALICANTE,BRAGANCA,0.718272765242701,dry-wet,215,81,98,16,8.560122639465101,0.4333585285966238,1.8691320993737301,0.08941905466018116
ALACANT/ALICANTE,CADIZ,0.564047078811086,dry-dry,639,21,4,0,0.48478865392185866,0.0,0.0,-0.9386071153101756
ALACANT/ALICANTE,CAMPDEVANOL,0.5737275336859148,dry-dry,893,26,197,14,8.023271118035451,2.440843420538852,1.7449242078495273,0.38049541981603874
ALACANT/ALICANTE,CAMPDEVANOL,0.5737275336859148,dry-wet,388,48,221,14,13.644136812428304,0.5120663650075414,1.0260817662900847,-0.3190102282062878
ALACANT/ALICANTE,CAMPI,0.7439571270234114,dry-dry,588,18,48,1,2.0464435349466097,0.6805555555555556,0.4886526224267846,-0.12069846013327858
ALACANT/ALICANTE,CAMPI,0.7439571270234114,dry-wet,128,46,53,6,5.10483733600466,0.31501230516817064,1.1753557665161463,-0.36791054035333504
ALACANT/ALICANTE,CUENCA,0.2715274868668432,dry-dry,1043,34,69,13,3.6504064857406795,5.779624893435635,3.561247233912433,0.5490054728781278
ALACANT/ALICANTE,CUENCA,0.2715274868668432,dry-wet,174,68,84,11,7.031099499942717,0.33508403361344535,1.5644779312381538,-0.267190824656312
ALACANT/ALICANTE,DAROCA,0.38202131459886346,dry-dry,1090,33,123,14,5.37397410652539,3.7595466863759546,2.6051483915786626,0.4585113282744164
ALACANT/ALICANTE,DAROCA,0.38202131459886346,dry-wet,259,71,136,12,10.949873123224865,0.32187241093620544,1.0959031091006706,-0.38419917299823264
ALACANT/ALICANTE,ENCISO,0.5374994382437821,dry-dry,330,8,39,3,1.239680925215535,3.173076923076923,2.419977543397637,0.3058737978977065
ALACANT/ALICANTE,EXTREMO,0.8505633689862772,dry-dry,662,19,83,3,2.7698038225306174,1.2593532022828156,1.083109199141427,0.021679735539897806
ALACANT/ALICANTE,EXTREMO,0.8505633689862772,dry-wet,223,53,89,8,7.648136093028178,0.3782064871740513,1.046006491345332,0.005083604977209563
ALACANT/ALICANTE,FISTERRA,0.9869814597548859,dry-dry,393,10,72,3,2.1809227763241354,1.6375,1.3755645236812963,0.07620486801885422
ALACANT/ALICANTE,FISTERRA,0.9869814597548859,dry-wet,168,28,83,4,5.859887530594861,0.2891566265060241,0.6826069577471812,-0.1220508009106934
ALACANT/ALICANTE,GETAFE,0.3850572944039493,dry-dry,986,27,42,3,2.4325802890486266,2.6084656084656084,1.2332583691094896,0.2413079299878131
ALACANT/ALICANTE,GETAFE,0.3850572944039493,dry-wet,143,62,67,11,5.94557529287761,0.3786711603273953,1.8501153308372433,-0.09028929941232766
ALACANT/ALICANTE,GUARDA,0.6571957404414749,dry-dry,384,13,20,2,1.027868348192214,2.953846153846154,1.9457744793071448,0.18929962319242655
ALACANT/ALICANTE,LORCA,0.14285873363064877,dry-dry,1294,47,28,16,1.8794467125675078,15.732522796352583,8.513143731615799,0.8263386730037275
ALACANT/ALICANTE,MONTSERRAT,0.4839024212077362,dry-dry,1170,31,107,10,6.046153261707642,3.527283690081399,1.6539441802333101,0.4444960939634183
ALACANT/ALICANTE,MONTSERRAT,0.4839024212077362,dry-wet,231,52,148,17,10.261191973212378,0.5102650727650727,1.6567276047831276,-0.1373561587589625
ALACANT/ALICANTE,OURENSE,0.8386011704741688,dry-dry,774,24,62,5,2.5940511448274446,2.600806451612903,1.9274870543589835,0.24977699262814812
ALACANT/ALICANTE,OURENSE,0.8386011704741688,dry-wet,208,57,88,10,7.074946578074911,0.41467304625199364,1.4134382344298908,0.07110964963712857
ALACANT/ALICANTE,OVIEDO,0.8252213407188747,dry-dry,855,22,201,6,7.54465331730133,1.1601085481682496,0.7952651696057199,0.02048504366634818
ALACANT/ALICANTE,OVIEDO,0.8252213407188747,dry-wet,480,85,228,23,17.914634397564818,0.5696594427244582,1.2838665578978519,-0.13790012488751055
ALACANT/ALICANTE,PAMPLONA,0.6138643361825086,dry-dry,900,28,116,11,4.7018861316552325,3.0480295566502464,2.3394866851289753,0.37980923071790307
ALACANT/ALICANTE,PAMPLONA,0.6138643361825086,dry-wet,281,56,151,14,10.303172966812795,0.4652317880794702,1.358804714343332,-0.18220840338085378
