station_j,station_k,dist,state_class,r_j,r_k,d_j,d_k,n_days,n_exit_j,n_exit_k,n_joint,phi
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,1,25,1,7,1,0.32732683535398854
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,2,17,2,8,0,-0.34426518632954817
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,3,8,1,1,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,4,6,1,2,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,5,7,1,2,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,6,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,7,6,2,2,1,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,8,3,1,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,9,3,0,1,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,10,1,0,1,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,11,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,12,1,1,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,13,2,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,14,2,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,16,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,17,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,19,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,25,1,1,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,27,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,29,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,34,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,1,14,2,7,1,0.0
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,2,17,1,4,0,-0.1386750490563073
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,3,6,0,1,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,4,6,0,1,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,5,2,1,0,0,
