station_j,station_k,dist,state_class,r_j,r_k,d_j,d_k,n_days,n_exit_j,n_exit_k,n_joint,phi
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,1,30,4,8,1,-0.014782809899727065
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,2,19,0,9,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,3,9,2,1,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,4,6,0,1,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,5,4,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,6,3,1,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,7,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,8,3,1,1,1,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,9,3,1,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,10,3,0,2,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,11,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,12,2,0,1,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,13,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,16,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,18,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,1,19,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,1,20,1,9,0,-0.2075143391598224
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,2,19,5,7,4,0.5346815442312336
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,3,10,1,2,0,-0.16666666666666666
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,4,6,0,1,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,5,5,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,6,4,1,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,7,2,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,8,1,0,1,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,9,2,1,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,10,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,11,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,12,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,14,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,17,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,19,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,2,20,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,3,1,18,5,6,3,0.35082320772281167
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,3,2,10,2,2,2,1.0
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,3,3,11,2,3,1,0.24056261216234406
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,3,4,6,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,3,5,4,1,3,1,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,3,6,4,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,3,7,3,1,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,3,8,2,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,3,10,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,3,11,1,1,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,3,12,1,1,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,3,13,1,1,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,3,15,1,0,1,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,3,18,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,3,20,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,3,21,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,4,1,9,0,3,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,4,2,9,1,3,1,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,4,3,8,2,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,4,4,7,0,1,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,4,5,6,0,1,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,4,6,1,0,0,0,
ALACANT/ALICANTE,AMARANTE,722.4169965750731,dry-dry,0,0,4,7,3,1,1,1,
