station_j,station_k,state_class,dist_exact,n_class_days_exact,n_used_exact,n_cells_exact,phi_bar_exact,dist_binned,n_class_days_binned,n_used_binned,n_cells_binned,phi_bar_binned
ALACANT/ALICANTE,AMARANTE,dry-dry,722.4169965750731,507,104,6,0.014207631721767281,722.4169965750731,507,449,14,0.08515829941936577
ALACANT/ALICANTE,AMARANTE,dry-wet,722.4169965750731,479,95,6,0.09633587590977416,722.4169965750731,479,456,21,-0.031007028202502035
ALACANT/ALICANTE,AMARANTE,wet-wet,722.4169965750731,95,37,2,0.34540844977212326,722.4169965750731,95,84,5,0.17130268146073804
ALACANT/ALICANTE,ARANJUEZ,dry-dry,323.4013395002759,689,222,11,0.1526727030053344,323.4013395002759,689,617,14,0.23663608116854387
ALACANT/ALICANTE,ARANJUEZ,dry-wet,323.4013395002759,289,104,7,-0.35417847764867627,323.4013395002759,289,254,13,-0.1402873977607394
ALACANT/ALICANTE,ARANJUEZ,wet-wet,323.4013395002759,126,82,3,0.39124869807130824,323.4013395002759,126,112,4,0.32593655006669753
ALACANT/ALICANTE,BARCELOS,dry-dry,776.0798722095955,456,78,5,0.08008107366598367,776.0798722095955,456,381,14,0.08509207526383776
ALACANT/ALICANTE,BARCELOS,dry-wet,776.0798722095955,463,95,6,0.09233743906466914,776.0798722095955,463,422,18,-0.05139695280350955
ALACANT/ALICANTE,BARCELOS,wet-wet,776.0798722095955,91,48,3,0.06891577082275431,776.0798722095955,91,68,4,0.03604036082600884
ALACANT/ALICANTE,BEJA,dry-dry,645.2484958319031,907,227,12,0.09569007725038824,645.2484958319031,907,907,16,0.08115955970961632
ALACANT/ALICANTE,BEJA,dry-wet,645.2484958319031,455,186,10,-0.16768631641723683,645.2484958319031,455,429,17,-0.15852940107239313
ALACANT/ALICANTE,BEJA,wet-wet,645.2484958319031,116,66,3,0.0952125766593345,645.2484958319031,116,102,5,-0.02279646612900789
ALACANT/ALICANTE,BRAGANCA,dry-dry,654.0074821361715,832,182,11,-0.038798378399946175,654.0074821361715,832,832,16,-0.016766315608305767
ALACANT/ALICANTE,BRAGANCA,dry-wet,654.0074821361715,597,222,12,0.16154331411838596,654.0074821361715,597,549,19,0.041491889244486393
ALACANT/ALICANTE,BRAGANCA,wet-wet,654.0074821361715,102,60,3,-0.07859757724822833,654.0074821361715,102,85,4,-0.13078298655635792
ALACANT/ALICANTE,CADIZ,dry-dry,549.7244310931843,846,248,12,0.3060473275125712,549.7244310931843,846,846,16,0.22092925424300178
ALACANT/ALICANTE,CADIZ,dry-wet,549.7244310931843,355,174,11,-0.13894731936027238,549.7244310931843,355,333,16,-0.1913013897328893
ALACANT/ALICANTE,CADIZ,wet-wet,549.7244310931843,145,93,3,0.07922891418689258,549.7244310931843,145,123,4,0.06472935889451617
ALACANT/ALICANTE,CAMPDEVANOL,dry-dry,483.90656470772444,1077,388,18,0.21565044679723042,483.90656470772444,1077,1077,16,0.19346563785473586
ALACANT/ALICANTE,CAMPDEVANOL,dry-wet,483.90656470772444,465,231,12,-0.16645210268262367,483.90656470772444,465,422,14,-0.19746554576861602
ALACANT/ALICANTE,CAMPDEVANOL,wet-wet,483.90656470772444,167,131,5,0.2016520224798306,483.90656470772444,167,148,4,0.17627710394394258
ALACANT/ALICANTE,CUENCA,dry-dry,235.359069323701,1030,366,15,0.31573224590991383,235.359069323701,1030,1010,15,0.2950961017493111
ALACANT/ALICANTE,CUENCA,dry-wet,235.359069323701,443,217,14,-0.27929706189936276,235.359069323701,443,421,17,-0.29453987829860023
ALACANT/ALICANTE,CUENCA,wet-wet,235.359069323701,209,157,5,0.28944388858196113,235.359069323701,209,179,4,0.3060545813192521
ALACANT/ALICANTE,DAROCA,dry-dry,314.74959747928835,924,323,15,0.28325280337951725,314.74959747928835,924,924,16,0.21458508311050975
ALACANT/ALICANTE,DAROCA,dry-wet,314.74959747928835,371,158,10,-0.11911461989612494,314.74959747928835,371,344,15,-0.13457921465420294
ALACANT/ALICANTE,DAROCA,wet-wet,314.74959747928835,169,134,5,0.33545857456480976,314.74959747928835,169,153,4,0.347997902804598
ALACANT/ALICANTE,EXTREMO,dry-dry,785.917196969032,423,81,6,-0.05530020197060378,785.917196969032,423,423,16,0.03792124601271659
ALACANT/ALICANTE,EXTREMO,dry-wet,785.917196969032,486,88,6,-0.0278842879646769,785.917196969032,486,439,19,-0.04149428394721695
ALACANT/ALICANTE,EXTREMO,wet-wet,785.917196969032,92,35,2,-0.1502017558700261,785.917196969032,92,58,3,-0.14012143417672068
ALACANT/ALICANTE,GETAFE,dry-dry,350.6111409533631,889,349,16,0.29843625784202615,350.6111409533631,889,889,16,0.18177593235583844
ALACANT/ALICANTE,GETAFE,dry-wet,350.6111409533631,358,159,10,-0.34326562384998255,350.6111409533631,358,307,13,-0.2870600826350816
ALACANT/ALICANTE,GETAFE,wet-wet,350.6111409533631,149,111,4,0.31517919687518237,350.6111409533631,149,133,4,0.3224313764496196
ALACANT/ALICANTE,LORCA,dry-dry,131.50609021423713,1279,594,19,0.629426594707391,131.50609021423713,1279,1262,15,0.5635705352912185
ALACANT/ALICANTE,LORCA,dry-wet,131.50609021423713,216,52,4,-0.4505268624405112,131.50609021423713,216,169,8,-0.5759486097778287
ALACANT/ALICANTE,LORCA,wet-wet,131.50609021423713,220,178,4,0.4629060867744479,131.50609021423713,220,203,4,0.4808714357020914
