station_j,station_k,state_class,dist_exact,n_class_days_exact,n_used_exact,n_cells_exact,phi_bar_exact,dist_binned,n_class_days_binned,n_used_binned,n_cells_binned,phi_bar_binned
ALACANT/ALICANTE,AMARANTE,dry-dry,722.4169965750731,547,118,7,0.19372472937571955,722.4169965750731,547,547,16,0.16842332879380656
ALACANT/ALICANTE,AMARANTE,dry-wet,722.4169965750731,499,104,8,0.09873338898163356,722.4169965750731,499,451,20,0.027215486094347652
ALACANT/ALICANTE,AMARANTE,wet-wet,722.4169965750731,121,75,4,0.010533610389307994,722.4169965750731,121,98,4,-0.07663801068074712
ALACANT/ALICANTE,ARANJUEZ,dry-dry,323.4013395002759,878,293,14,0.25217817871914566,323.4013395002759,878,832,15,0.16958053897074887
ALACANT/ALICANTE,ARANJUEZ,dry-wet,323.4013395002759,355,146,10,-0.17567743002110547,323.4013395002759,355,313,14,-0.13319668270199553
ALACANT/ALICANTE,ARANJUEZ,wet-wet,323.4013395002759,140,94,4,0.2533779537267214,323.4013395002759,140,119,4,0.2729296238268958
ALACANT/ALICANTE,BARCELOS,dry-dry,776.0798722095955,547,123,8,-0.08582798840478496,776.0798722095955,547,547,16,0.05669094459833107
ALACANT/ALICANTE,BARCELOS,dry-wet,776.0798722095955,505,80,6,-0.007039472621124543,776.0798722095955,505,454,20,-0.029246887177586518
ALACANT/ALICANTE,BARCELOS,wet-wet,776.0798722095955,107,69,4,0.029953502419071465,776.0798722095955,107,96,5,0.013027794256482955
ALACANT/ALICANTE,BEJA,dry-dry,645.2484958319031,1019,233,12,0.10530659783803172,645.2484958319031,1019,1019,16,0.07544031847478909
ALACANT/ALICANTE,BEJA,dry-wet,645.2484958319031,470,141,7,-0.12155663019830679,645.2484958319031,470,428,17,-0.09139385803212434
ALACANT/ALICANTE,BEJA,wet-wet,645.2484958319031,130,93,5,-0.12102178170309082,645.2484958319031,130,126,6,-0.09131862302016917
ALACANT/ALICANTE,BRAGANCA,dry-dry,654.0074821361715,861,210,11,0.11821098056069392,654.0074821361715,861,861,16,0.0794914093930178
ALACANT/ALICANTE,BRAGANCA,dry-wet,654.0074821361715,610,273,18,0.04146694411807124,654.0074821361715,610,575,20,-0.02424586473483218
ALACANT/ALICANTE,BRAGANCA,wet-wet,654.0074821361715,135,83,4,0.11786607051285108,654.0074821361715,135,125,6,0.09255726795737053
ALACANT/ALICANTE,CADIZ,dry-dry,549.7244310931843,1103,239,10,0.06275768976284665,549.7244310931843,1103,1103,16,0.15062198676366184
ALACANT/ALICANTE,CADIZ,dry-wet,549.7244310931843,370,134,9,-0.12002765312918463,549.7244310931843,370,317,14,-0.08608489340507128
