station_j,station_k,state_class,dist_exact,n_class_days_exact,n_used_exact,n_cells_exact,phi_bar_exact,dist_binned,n_class_days_binned,n_used_binned,n_cells_binned,phi_bar_binned
ALACANT/ALICANTE,AMARANTE,dry-dry,722.4169965750731,755,0,0,,722.4169965750731,755,695,12,-0.03883330114685978
ALACANT/ALICANTE,AMARANTE,dry-wet,722.4169965750731,175,0,0,,722.4169965750731,175,60,4,0.046746515676027736
ALACANT/ALICANTE,AMARANTE,wet-wet,722.4169965750731,14,0,0,,722.4169965750731,14,0,0,
ALACANT/ALICANTE,ARANJUEZ,dry-dry,323.4013395002759,706,15,1,-0.10482848367219183,323.4013395002759,706,559,9,0.24373996654651273
ALACANT/ALICANTE,ARANJUEZ,dry-wet,323.4013395002759,106,13,1,-0.36514837167011077,323.4013395002759,106,57,4,-0.10451726551804912
ALACANT/ALICANTE,ARANJUEZ,wet-wet,323.4013395002759,22,10,1,0.3333333333333333,323.4013395002759,22,10,1,0.3333333333333333
ALACANT/ALICANTE,BARCELOS,dry-dry,776.0798722095955,729,0,0,,776.0798722095955,729,611,9,-0.05872759937383741
ALACANT/ALICANTE,BARCELOS,dry-wet,776.0798722095955,194,0,0,,776.0798722095955,194,89,4,0.11781691202511597
ALACANT/ALICANTE,BARCELOS,wet-wet,776.0798722095955,10,0,0,,776.0798722095955,10,0,0,
ALACANT/ALICANTE,BEJA,dry-dry,645.2484958319031,919,0,0,,645.2484958319031,919,664,5,0.060704168103441467
ALACANT/ALICANTE,BEJA,dry-wet,645.2484958319031,98,0,0,,645.2484958319031,98,0,0,
ALACANT/ALICANTE,BEJA,wet-wet,645.2484958319031,13,0,0,,645.2484958319031,13,0,0,
ALACANT/ALICANTE,BRAGANCA,dry-dry,654.0074821361715,1027,0,0,,654.0074821361715,1027,1002,14,0.03806521338853441
ALACANT/ALICANTE,BRAGANCA,dry-wet,654.0074821361715,215,14,1,0.11322770341445956,654.0074821361715,215,153,7,0.11408485366228509
ALACANT/ALICANTE,BRAGANCA,wet-wet,654.0074821361715,17,0,0,,654.0074821361715,17,0,0,
ALACANT/ALICANTE,CADIZ,dry-dry,549.7244310931843,639,0,0,,549.7244310931843,639,486,3,-0.01122056585867877
