station_j,station_k,state_class,dist_exact,n_class_days_exact,n_used_exact,n_cells_exact,phi_bar_exact,dist_binned,n_class_days_binned,n_used_binned,n_cells_binned,phi_bar_binned
ALACANT/ALICANTE,AMARANTE,dry-dry,722.4169965750731,588,69,4,-0.021237811881002974,722.4169965750731,588,570,15,0.14220007178134567
ALACANT/ALICANTE,AMARANTE,dry-wet,722.4169965750731,513,97,8,-0.09276386377802716,722.4169965750731,513,459,19,-0.08492155190018771
ALACANT/ALICANTE,AMARANTE,wet-wet,722.4169965750731,115,70,4,0.09275525492142622,722.4169965750731,115,89,4,0.03959077909274362
ALACANT/ALICANTE,ARANJUEZ,dry-dry,323.4013395002759,887,282,11,0.3802739850834937,323.4013395002759,887,860,15,0.32089746623667564
ALACANT/ALICANTE,ARANJUEZ,dry-wet,323.4013395002759,258,75,5,-0.26698800684172913,323.4013395002759,258,221,11,-0.31707734732565646
ALACANT/ALICANTE,ARANJUEZ,wet-wet,323.4013395002759,133,101,4,0.3405725576323075,323.4013395002759,133,120,4,0.37674301561316825
ALACANT/ALICANTE,BARCELOS,dry-dry,776.0798722095955,531,70,4,0.16334499508315278,776.0798722095955,531,515,15,0.09128609220239677
ALACANT/ALICANTE,BARCELOS,dry-wet,776.0798722095955,545,74,6,-0.19867115546379122,776.0798722095955,545,490,19,-0.05359962300607782
ALACANT/ALICANTE,BARCELOS,wet-wet,776.0798722095955,104,45,2,0.06311747577748679,776.0798722095955,104,80,4,0.08538945081238838
ALACANT/ALICANTE,BEJA,dry-dry,645.2484958319031,1011,240,12,0.03145253266683599,645.2484958319031,1011,950,15,0.05006167913616421
ALACANT/ALICANTE,BEJA,dry-wet,645.2484958319031,483,206,12,-0.15466413409517585,645.2484958319031,483,442,17,-0.1213229008925464
ALACANT/ALICANTE,BEJA,wet-wet,645.2484958319031,150,83,3,0.09596604388700737,645.2484958319031,150,119,4,0.04587530573514179
ALACANT/ALICANTE,BRAGANCA,dry-dry,654.0074821361715,925,151,9,-0.051728186234126255,654.0074821361715,925,925,16,0.03248955527245937
ALACANT/ALICANTE,BRAGANCA,dry-wet,654.0074821361715,613,183,11,0.08187347068326703,654.0074821361715,613,570,20,0.01055097934276864
ALACANT/ALICANTE,BRAGANCA,wet-wet,654.0074821361715,124,60,3,0.31924995204317086,654.0074821361715,124,93,4,0.16348553202946806
ALACANT/ALICANTE,CADIZ,dry-dry,549.7244310931843,1102,268,12,0.20848072075944302,549.7244310931843,1102,1035,15,0.25934603350649565
ALACANT/ALICANTE,CADIZ,dry-wet,549.7244310931843,379,124,7,-0.16867933712963618,549.7244310931843,379,334,15,-0.17356971999456605
ALACANT/ALICANTE,CADIZ,wet-wet,549.7244310931843,170,116,4,0.14378007137361007,549.7244310931843,170,142,4,0.19139366514750575
ALACANT/ALICANTE,CAMPDEVANOL,dry-dry,483.90656470772444,1073,258,13,0.4291645228997023,483.90656470772444,1073,1073,16,0.22758908212162332
ALACANT/ALICANTE,CAMPDEVANOL,dry-wet,483.90656470772444,321,106,7,-0.11338513027726076,483.90656470772444,321,252,11,-0.17155792123368518
ALACANT/ALICANTE,CAMPDEVANOL,wet-wet,483.90656470772444,132,82,3,0.1828155631785963,483.90656470772444,132,114,4,0.1842463282793267
ALACANT/ALICANTE,CUENCA,dry-dry,235.359069323701,1098,320,12,0.3006607590691245,235.359069323701,1098,1015,14,0.3138538898365525
ALACANT/ALICANTE,CUENCA,dry-wet,235.359069323701,418,146,9,-0.2779153740840162,235.359069323701,418,374,16,-0.2437680730153366
ALACANT/ALICANTE,CUENCA,wet-wet,235.359069323701,195,149,5,0.20076108746737942,235.359069323701,195,176,5,0.18616549946361693
ALACANT/ALICANTE,DAROCA,dry-dry,314.74959747928835,931,197,7,0.40006624939001106,314.74959747928835,931,923,15,0.3501866991173378
ALACANT/ALICANTE,DAROCA,dry-wet,314.74959747928835,267,77,6,-0.4538629476210499,314.74959747928835,267,209,10,-0.33204062210724805
ALACANT/ALICANTE,DAROCA,wet-wet,314.74959747928835,141,121,4,0.32741069579120446,314.74959747928835,141,133,4,0.3081519553875436
ALACANT/ALICANTE,EXTREMO,dry-dry,785.917196969032,499,64,4,-0.09000519858791144,785.917196969032,499,435,14,0.13804013915458993
ALACANT/ALICANTE,EXTREMO,dry-wet,785.917196969032,550,65,5,-0.0730255059054401,785.917196969032,550,490,18,-0.03599366026160938
ALACANT/ALICANTE,EXTREMO,wet-wet,785.917196969032,105,42,2,0.04699651452714634,785.917196969032,105,88,5,-0.00034033871159352714
